URL_ID,Cleaned Word Count
Netclan20241017,278
Netclan20241018,585
Netclan20241019,416
Netclan20241020,530
Netclan20241021,584
Netclan20241022,278
Netclan20241023,585
Netclan20241024,416
Netclan20241025,530
Netclan20241026,1307
Netclan20241027,440
Netclan20241028,566
Netclan20241029,409
Netclan20241030,413
Netclan20241031,994
Netclan20241032,751
Netclan20241033,1133
Netclan20241034,289
Netclan20241035,734
Netclan20241036,529
Netclan20241037,295
Netclan20241038,313
Netclan20241039,304
Netclan20241040,300
Netclan20241041,314
Netclan20241042,324
Netclan20241043,584
Netclan20241044,625
Netclan20241045,611
Netclan20241046,650
Netclan20241047,558
Netclan20241048,719
Netclan20241049,880
Netclan20241050,466
Netclan20241051,1254
Netclan20241052,771
Netclan20241053,732
Netclan20241054,814
Netclan20241055,1201
Netclan20241056,359
Netclan20241057,484
Netclan20241058,311
Netclan20241059,318
Netclan20241060,302
Netclan20241061,350
Netclan20241062,819
Netclan20241063,391
Netclan20241064,569
Netclan20241065,301
Netclan20241066,308
Netclan20241067,508
Netclan20241068,428
Netclan20241069,451
Netclan20241070,338
Netclan20241071,340
Netclan20241072,227
Netclan20241073,354
Netclan20241074,317
Netclan20241075,219
Netclan20241076,167
Netclan20241077,196
Netclan20241078,208
Netclan20241079,173
Netclan20241080,224
Netclan20241081,308
Netclan20241082,354
Netclan20241083,377
Netclan20241084,369
Netclan20241085,329
Netclan20241086,290
Netclan20241087,654
Netclan20241088,343
Netclan20241089,307
Netclan20241090,224
Netclan20241091,316
Netclan20241092,338
Netclan20241093,294
Netclan20241094,264
Netclan20241095,315
Netclan20241096,402
Netclan20241097,305
Netclan20241098,205
Netclan20241099,270
Netclan20241100,292
Netclan20241101,244
Netclan20241102,207
Netclan20241103,284
Netclan20241104,359
Netclan20241105,351
Netclan20241106,260
Netclan20241107,297
Netclan20241108,711
Netclan20241109,740
Netclan20241110,265
Netclan20241111,320
Netclan20241112,237
Netclan20241113,319
Netclan20241114,229
Netclan20241115,386
Netclan20241116,241
Netclan20241117,299
Netclan20241118,258
Netclan20241119,379
Netclan20241120,223
Netclan20241121,659
Netclan20241122,446
Netclan20241123,294
Netclan20241124,254
Netclan20241125,260
Netclan20241126,433
Netclan20241127,413
Netclan20241128,309
Netclan20241129,462
Netclan20241130,205
Netclan20241131,317
Netclan20241132,560
Netclan20241133,1005
Netclan20241134,631
Netclan20241135,82
Netclan20241136,169
Netclan20241137,155
Netclan20241138,182
Netclan20241139,139
Netclan20241140,143
Netclan20241141,482
Netclan20241142,180
Netclan20241143,399
Netclan20241144,226
Netclan20241145,314
Netclan20241146,350
Netclan20241147,293
Netclan20241148,287
Netclan20241149,245
Netclan20241150,252
Netclan20241151,226
Netclan20241152,228
Netclan20241153,230
Netclan20241154,242
Netclan20241155,240
Netclan20241156,362
Netclan20241157,671
Netclan20241158,478
Netclan20241159,708
Netclan20241160,972
Netclan20241161,308
Netclan20241162,179
Netclan20241163,154
